1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
1294	1292.996	616068.911	3096714.318	631.917	5.2	0	Normal	0.055	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0559677	635.1254516	0.003814146	1	35.68642616	-0.003415996	1	4.029398279	20.95287105	1.580299612	2.431647667	635.9463983	636.2477699	0.000722766	0.386764003	54.84293093	-0.000999403	1	4.029398279	635.9463983	636.2477699			0	0	0	0	0.386764003	Subcritical	0.000722766
1295	1293.996	616068.869	3096713.319	631.9165	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0554677	635.1249516	0.003814146	1	35.68642616	-0.003314146	1	4.027934846	20.9452612	1.580074464	2.432531135	635.9444348	636.2460255	0.000723429	0.386974801	54.81686183	-0.000909293	1	4.027934846	635.9444348	636.2460255			0	0	0	0	0.386974801	Subcritical	0.000723429
1296	1294.996	616068.827	3096712.32	631.916	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0549677	635.1244516	0.003814146	1	35.68642616	-0.003314146	1	4.026578237	20.93820683	1.579865663	2.433350688	635.9425782	636.2443721	0.000724044	0.387170383	54.79270859	-0.000945646	1	4.026578237	635.9425782	636.2443721			0	0	0	0	0.387170383	Subcritical	0.000724044
1297	1295.996	616068.785	3096711.321	631.9155	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0544677	635.1239516	0.003814146	1	35.68642616	-0.003415747	1	4.025142696	20.93074202	1.579644619	2.434218527	635.9406427	636.2426519	0.000724696	0.387377524	54.76716356	-0.000984066	1	4.025142696	635.9406427	636.2426519			0	0	0	0	0.387377524	Subcritical	0.000724696
1298	1296.996	616068.742	3096710.322	631.915	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0539677	635.1234516	0.003814146	1	35.68642616	-0.003415747	1	4.023660006	20.92303203	1.579416215	2.435115519	635.93866	636.2408918	0.00072537	0.387591663	54.74079416	-0.00089204	1	4.023660006	635.93866	636.2408918			0	0	0	0	0.387591663	Subcritical	0.00072537
1299	1297.996	616068.7	3096709.323	631.9145	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0534677	635.1229516	0.003814146	1	35.68642616	-0.003314146	1	4.022320892	20.91606864	1.57920984	2.435926219	635.9368209	636.2392539	0.000725979	0.387785235	54.71699102	-0.000923418	1	4.022320892	635.9368209	636.2392539			0	0	0	0	0.387785235	Subcritical	0.000725979
1300	1298.995	616068.658	3096708.324	631.914	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0529677	635.1224516	0.003814146	1	35.68642616	-0.003310332	1	4.020944038	20.908909	1.578997563	2.436760331	635.934944	636.2375842	0.000726607	0.38798443	54.69252968	-0.00095571	1	4.020944038	635.934944	636.2375842			0	0	0	0	0.38798443	Subcritical	0.000726607
1301	1299.995	616068.616	3096707.325	631.9135	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0524677	635.1219516	0.003814146	1	35.68642616	-0.003415747	1	4.019492062	20.90135872	1.578773607	2.437640571	635.9329921	636.235851	0.00072727	0.388194679	54.66674761	-0.000989726	1	4.019492062	635.9329921	636.235851			0	0	0	0	0.388194679	Subcritical	0.00072727
1302	1300.995	616068.573	3096706.326	631.913	5.2	0	Normal	0.06	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0519677	635.1214516	0.003814146	1	35.68642616	-0.003421094	1	4.01799634	20.89358097	1.578542802	2.438547996	635.9309963	636.2340808	0.000727953	0.388411461	54.64020368	-0.00089347	1	4.01799634	635.9309963	636.2340808			0	0	0	0	0.388411461	Subcritical	0.000727953
1303	1301.996	616068.531	3096705.326	631.9125	5.2	0	Normal	0.002	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0514677	635.1209516	0.003814146	1	35.68642616	-0.003321525	1	4.016649199	20.88657583	1.578334834	2.439365859	635.9291492	636.232437	0.000728569	0.388606881	54.61630952	-0.000921125	1	4.016649199	635.9291492	636.232437			0	0	0	0	0.388606881	Subcritical	0.000728569
1304	1302.996	616068.489	3096704.327	631.912	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0509677	635.1204516	0.003814146	1	35.68642616	-0.003415747	1	4.015235362	20.87922388	1.57811648	2.440224804	635.9272354	636.2307367	0.000729217	0.388812152	54.59124559	-0.000950179	1	4.015235362	635.9272354	636.2307367			0	0	0	0	0.388812152	Subcritical	0.000729217
1305	1303.996	616068.446	3096703.328	631.9115	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0504677	635.1199516	0.003814146	1	35.68642616	-0.003415747	1	4.013785558	20.8716849	1.577892473	2.441106228	635.9252856	636.2290062	0.000729882	0.389022833	54.56555811	-0.000979941	1	4.013785558	635.9252856	636.2290062			0	0	0	0	0.389022833	Subcritical	0.000729882
1306	1304.996	616068.404	3096702.329	631.911	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0499677	635.1194516	0.003814146	1	35.68642616	-0.003314146	1	4.012333551	20.86413447	1.577668028	2.44198963	635.9233336	636.2272741	0.000730549	0.389234025	54.53984586	-0.000880853	1	4.012333551	635.9233336	636.2272741			0	0	0	0	0.389234025	Subcritical	0.000730549
1307	1305.996	616068.362	3096701.33	631.9105	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0494677	635.1189516	0.003814146	1	35.68642616	-0.003314146	1	4.010999389	20.85719682	1.577461712	2.442801899	635.9214994	636.2256422	0.000731163	0.389428245	54.51623302	-0.000904869	1	4.010999389	635.9214994	636.2256422			0	0	0	0	0.389428245	Subcritical	0.000731163
1308	1306.996	616068.32	3096700.331	631.91	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0489677	635.1184516	0.003814146	1	35.68642616	-0.003415747	1	4.009600665	20.84992346	1.577245322	2.443654055	635.9196007	636.2239557	0.000731807	0.389632037	54.49149047	-0.000930075	1	4.009600665	635.9196007	636.2239557			0	0	0	0	0.389632037	Subcritical	0.000731807
1309	1307.996	616068.277	3096699.332	631.9095	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0484677	635.1179516	0.003814146	1	35.68642616	-0.003415747	1	4.008170575	20.84248699	1.577023985	2.444525935	635.9176706	636.2222428	0.000732466	0.389840583	54.46620679	-0.000955876	1	4.008170575	635.9176706	636.2222428			0	0	0	0	0.389840583	Subcritical	0.000732466
1310	1308.995	616068.235	3096698.333	631.909	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0479677	635.1174516	0.003814146	1	35.68642616	-0.003310332	1	4.006744029	20.83506895	1.576803101	2.445396275	635.915744	636.2205332	0.000733124	0.390048798	54.44099958	-0.000981587	1	4.006744029	635.915744	636.2205332			0	0	0	0	0.390048798	Subcritical	0.000733124
1311	1309.995	616068.193	3096697.334	631.9085	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0474677	635.1169516	0.003814146	1	35.68642616	-0.003314146	1	4.00528461	20.82747997	1.576577029	2.446287312	635.9137846	636.2187959	0.000733799	0.390262002	54.41522578	-0.000879688	1	4.00528461	635.9137846	636.2187959			0	0	0	0	0.390262002	Subcritical	0.000733799
1312	1310.995	616068.151	3096696.335	631.908	5.2	0	Normal	0.055	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0469677	635.1164516	0.003814146	1	35.68642616	-0.003412182	1	4.003912899	20.82034707	1.576364452	2.447125392	635.9119129	636.2171332	0.000734434	0.390462571	54.39101411	-0.000901384	1	4.003912899	635.9119129	636.2171332			0	0	0	0	0.390462571	Subcritical	0.000734434
1313	1311.996	616068.108	3096695.335	631.9075	5.2	0	Normal	0.055	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0464677	635.1159516	0.003814146	1	35.68642616	-0.003415996	1	4.002513153	20.81306839	1.576147439	2.447981193	635.9100132	636.215447	0.000735083	0.390667416	54.36632076	-0.000923552	1	4.002513153	635.9100132	636.215447			0	0	0	0	0.390667416	Subcritical	0.000735083
1314	1312.996	616068.066	3096694.336	631.907	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0459677	635.1154516	0.003814146	1	35.68642616	-0.003314146	1	4.001120224	20.80582516	1.575931392	2.448833421	635.9081202	636.2137668	0.000735729	0.390871441	54.34176087	-0.000945637	1	4.001120224	635.9081202	636.2137668			0	0	0	0	0.390871441	Subcritical	0.000735729
1315	1313.996	616068.024	3096693.337	631.9065	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0454677	635.1149516	0.003814146	1	35.68642616	-0.003314146	1	3.999699663	20.79843825	1.575710965	2.449703165	635.9061997	636.2120634	0.000736389	0.391079696	54.31672736	-0.000968188	1	3.999699663	635.9061997	636.2120634			0	0	0	0	0.391079696	Subcritical	0.000736389
1316	1314.996	616067.982	3096692.338	631.906	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0449677	635.1144516	0.003814146	1	35.68642616	-0.003415747	1	3.998215898	20.79072267	1.575480629	2.450612267	635.9042159	636.2103066	0.000737079	0.391297415	54.29059466	-0.000991724	1	3.998215898	635.9042159	636.2103066			0	0	0	0	0.391297415	Subcritical	0.000737079
1317	1315.996	616067.939	3096691.339	631.9055	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0444677	635.1139516	0.003814146	1	35.68642616	-0.003415747	1	3.996702623	20.78285364	1.575245606	2.451540144	635.9022026	636.2085252	0.000737784	0.391519672	54.26395765	-0.000886972	1	3.996702623	635.9022026	636.2085252			0	0	0	0	0.391519672	Subcritical	0.000737784
1318	1316.996	616067.897	3096690.34	631.905	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0439677	635.1134516	0.003814146	1	35.68642616	-0.003314146	1	3.995349231	20.775816	1.575035322	2.452370583	635.9003492	636.2068794	0.000738416	0.391718625	54.24014809	-0.000905827	1	3.995349231	635.9003492	636.2068794			0	0	0	0	0.391718625	Subcritical	0.000738416
1319	1317.995	616067.855	3096689.341	631.9045	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0434677	635.1129516	0.003814146	1	35.68642616	-0.003310332	1	3.993972993	20.76865956	1.5748214	2.453215618	635.898473	636.2052144	0.000739059	0.391921109	54.21594938	-0.000925023	1	3.993972993	635.898473	636.2052144			0	0	0	0	0.391921109	Subcritical	0.000739059
1320	1318.995	616067.813	3096688.342	631.904	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0429677	635.1124516	0.003814146	1	35.68642616	-0.003415747	1	3.992536584	20.76119024	1.57459803	2.45409822	635.8965366	636.2034988	0.00073973	0.392132632	54.19070641	-0.000945084	1	3.992536584	635.8965366	636.2034988			0	0	0	0	0.392132632	Subcritical	0.00073973
1321	1319.995	616067.77	3096687.343	631.9035	5.2	0	Normal	0.06	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0424677	635.1119516	0.003814146	1	35.68642616	-0.003421094	1	3.991073016	20.75357969	1.574370336	2.454998163	635.894573	636.2017604	0.000740416	0.392348351	54.1650006	-0.000965551	1	3.991073016	635.894573	636.2017604			0	0	0	0	0.392348351	Subcritical	0.000740416
1322	1320.996	616067.728	3096686.343	631.903	5.2	0	Normal	0.002	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0419677	635.1114516	0.003814146	1	35.68642616	-0.003321525	1	3.989618517	20.74601629	1.574143953	2.455893184	635.8926185	636.2000299	0.000741098	0.392562928	54.13946848	-0.000985878	1	3.989618517	635.8926185	636.2000299			0	0	0	0	0.392562928	Subcritical	0.000741098
1323	1321.996	616067.686	3096685.344	631.9025	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0414677	635.1109516	0.003814146	1	35.68642616	-0.003314146	1	3.988140508	20.73833064	1.573913809	2.456803341	635.8906405	636.1982798	0.000741792	0.392781175	54.11353842	-0.000879348	1	3.988140508	635.8906405	636.1982798			0	0	0	0	0.392781175	Subcritical	0.000741792
1324	1322.996	616067.644	3096684.345	631.902	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0409677	635.1104516	0.003814146	1	35.68642616	-0.003415747	1	3.986754453	20.73112316	1.573697889	2.457657485	635.8887545	636.1966077	0.000742444	0.392986027	54.08923511	-0.000896373	1	3.986754453	635.8887545	636.1966077			0	0	0	0	0.392986027	Subcritical	0.000742444
1325	1323.996	616067.601	3096683.346	631.9015	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0404677	635.1099516	0.003814146	1	35.68642616	-0.003415747	1	3.985346773	20.72380322	1.573478507	2.458525564	635.8868468	636.1949175	0.000743106	0.393194258	54.06456599	-0.000913686	1	3.985346773	635.8868468	636.1949175			0	0	0	0	0.393194258	Subcritical	0.000743106
1326	1324.996	616067.559	3096682.347	631.901	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0399677	635.1094516	0.003814146	1	35.68642616	-0.003314146	1	3.983952397	20.71655246	1.573261106	2.459386044	635.8849524	636.1932388	0.000743763	0.393400702	54.04014332	-0.000930859	1	3.983952397	635.8849524	636.1932388			0	0	0	0	0.393400702	Subcritical	0.000743763
1327	1325.996	616067.517	3096681.348	631.9005	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0394677	635.1089516	0.003814146	1	35.68642616	-0.003314146	1	3.98253622	20.70918835	1.573040212	2.460260593	635.8830362	636.1915419	0.000744432	0.393610558	54.01535237	-0.000948326	1	3.98253622	635.8830362	636.1915419			0	0	0	0	0.393610558	Subcritical	0.000744432
1328	1326.995	616067.475	3096680.349	631.9	5.2	0	Normal	0.057	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0389677	635.1084516	0.003814146	1	35.68642616	-0.003411933	1	3.981063387	20.70152961	1.57281038	2.46117079	635.8810634	636.1897974	0.000745128	0.393829009	53.98958411	-0.000966513	1	3.981063387	635.8810634	636.1897974			0	0	0	0	0.393829009	Subcritical	0.000745128
1329	1327.995	616067.432	3096679.35	631.8995	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0384677	635.1079516	0.003814146	1	35.68642616	-0.003415747	1	3.979566511	20.69374586	1.572576691	2.462096536	635.8790665	636.1880328	0.000745836	0.394051232	53.96341034	-0.000984989	1	3.979566511	635.8790665	636.1880328			0	0	0	0	0.394051232	Subcritical	0.000745836
1330	1328.995	616067.39	3096678.351	631.899	5.2	0	Normal	0.002	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0379677	635.1074516	0.003814146	1	35.68642616	-0.003317711	1	3.978080312	20.68601762	1.572344563	2.463016368	635.8770803	636.1862775	0.000746541	0.394272077	53.93743837	-0.000876954	1	3.978080312	635.8770803	636.1862775			0	0	0	0	0.394272077	Subcritical	0.000746541
1331	1329.996	616067.348	3096677.351	631.8985	5.2	0	Normal	0.002	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0374677	635.1069516	0.003814146	1	35.68642616	-0.003321525	1	3.976722401	20.67895649	1.57213238	2.463857402	635.8752224	636.1846308	0.000747185	0.39447404	53.91372145	-0.000891698	1	3.976722401	635.8752224	636.1846308			0	0	0	0	0.39447404	Subcritical	0.000747185
1332	1330.996	616067.306	3096676.352	631.898	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0369677	635.1064516	0.003814146	1	35.68642616	-0.003415747	1	3.975312266	20.67162379	1.571911945	2.464731389	635.8733123	636.1829402	0.000747855	0.394683952	53.88910572	-0.000907029	1	3.975312266	635.8733123	636.1829402			0	0	0	0	0.394683952	Subcritical	0.000747855
1333	1331.996	616067.263	3096675.353	631.8975	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0364677	635.1059516	0.003814146	1	35.68642616	-0.003415747	1	3.973882475	20.66418887	1.57168834	2.465618192	635.8713825	636.1812333	0.000748535	0.39489698	53.8641607	-0.000922596	1	3.973882475	635.8713825	636.1812333			0	0	0	0	0.39489698	Subcritical	0.000748535
1334	1332.996	616067.221	3096674.354	631.897	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0359677	635.1054516	0.003814146	1	35.68642616	-0.003314146	1	3.972468292	20.65683512	1.571467081	2.466495942	635.8694683	636.1795398	0.000749209	0.395107872	53.8395017	-0.000938015	1	3.972468292	635.8694683	636.1795398			0	0	0	0	0.395107872	Subcritical	0.000749209
1335	1333.996	616067.179	3096673.355	631.8965	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0354677	635.1049516	0.003814146	1	35.68642616	-0.003415747	1	3.970998747	20.64919348	1.571237058	2.467408717	635.8674987	636.1777998	0.00074991	0.395327218	53.81389182	-0.000954061	1	3.970998747	635.8674987	636.1777998			0	0	0	0	0.395327218	Subcritical	0.00074991
1336	1334.996	616067.136	3096672.356	631.896	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0349677	635.1044516	0.003814146	1	35.68642616	-0.003415747	1	3.969508601	20.64144472	1.571003707	2.468334978	635.8655086	636.1760426	0.000750622	0.395549846	53.78793799	-0.000970356	1	3.969508601	635.8655086	636.1760426			0	0	0	0	0.395549846	Subcritical	0.000750622
1337	1335.996	616067.094	3096671.357	631.8955	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0344677	635.1039516	0.003814146	1	35.68642616	-0.003314146	1	3.968033204	20.63377266	1.57077256	2.469252755	635.8635332	636.1742982	0.000751327	0.395770477	53.76225597	-0.000986484	1	3.968033204	635.8635332	636.1742982			0	0	0	0	0.395770477	Subcritical	0.000751327
1338	1336.995	616067.052	3096670.358	631.895	5.2	0	Normal	0	0.999	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0339677	635.1034516	0.003814146	1	35.68642616	-0.003310332	1	3.966538025	20.62599773	1.570538208	2.470183536	635.861538	636.1725373	0.000752043	0.395994276	53.73624477	-0.000876917	1	3.966538025	635.861538	636.1725373			0	0	0	0	0.395994276	Subcritical	0.000752043
1339	1337.995	616067.01	3096669.359	631.8945	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0334677	635.1029516	0.003814146	1	35.68642616	-0.003415747	1	3.965137444	20.61871471	1.570318587	2.471056063	635.8596374	636.1708565	0.000752715	0.396204106	53.71189313	-0.000890395	1	3.965137444	635.8596374	636.1708565			0	0	0	0	0.396204106	Subcritical	0.000752715
1340	1338.995	616066.967	3096668.36	631.894	5.2	0	Normal	0.06	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0329677	635.1024516	0.003814146	1	35.68642616	-0.003421094	1	3.963717533	20.61133117	1.570095839	2.471941262	635.8577175	636.1691596	0.000753397	0.396417022	53.68721908	-0.000904078	1	3.963717533	635.8577175	636.1691596			0	0	0	0	0.396417022	Subcritical	0.000753397
1341	1339.996	616066.925	3096667.36	631.8935	5.2	0	Normal	0.002	1.001	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0324677	635.1019516	0.003814146	1	35.68642616	-0.003321525	1	3.962315431	20.60404024	1.56987579	2.472815982	635.8558154	636.167478	0.000754071	0.396627454	53.662868	-0.000917612	1	3.962315431	635.8558154	636.167478			0	0	0	0	0.396627454	Subcritical	0.000754071
1342	1340.996	616066.883	3096666.361	631.893	5.2	0	Normal	0	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0319677	635.1014516	0.003814146	1	35.68642616	-0.003314146	1	3.960897995	20.59666958	1.569653239	2.473700897	635.853898	636.1657836	0.000754754	0.396840377	53.63826429	-0.000931313	1	3.960897995	635.853898	636.1657836			0	0	0	0	0.396840377	Subcritical	0.000754754
1343	1341.996	616066.841	3096665.362	631.8925	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0314677	635.1009516	0.003814146	1	35.68642616	-0.003415747	1	3.959426951	20.58902015	1.569422169	2.47461995	635.851927	636.1640444	0.000755463	0.397061555	53.61274457	-0.000945554	1	3.959426951	635.851927	636.1640444			0	0	0	0	0.397061555	Subcritical	0.000755463
1344	1342.996	616066.798	3096664.363	631.892	5.2	0	Normal	0.057	1	50.95	2.138967704	11.12263206	1.173529	4.580750286	634.0309677	635.1004516	0.003814146	1	35.68642616	-0.003415747	1	3.957937438	20.58127468	1.569188092	2.475551238	635.8499374	636.1622898	0.000756182	0.397285718	53.58691954	-0.000959997	1	3.957937438	635.8499374	636.1622898			0	0	0	0	0.397285718	Subcritical	0.000756182
